epoch,train_perf,train_loss,train_nll,valid_perf,valid_nll,log_marglik
1,26.98,2.02407,1.9483,37.48,1.71039,
2,41.56,1.70541,1.5768,45.37,1.47458,
3,48.55,1.57383,1.39274,52.19,1.3139,
4,53.3,1.51154,1.28494,54.21,1.26816,
5,57.01,1.46158,1.19469,55.91,1.22994,
6,59.34,1.43858,1.132,57.99,1.19743,
7,61.95,1.41072,1.06317,60.65,1.09058,
8,64.15,1.39325,1.00501,60.24,1.12168,
9,66.56,1.36236,0.94003,64.04,1.02862,
10,67.92,1.36213,0.89893,64.32,1.02156,3.17088
11,67.64,1.82353,0.92072,61.49,1.10717,
12,64.31,1.72488,1.00522,60.81,1.1206,
13,64.37,1.68405,1.0025,61.12,1.14793,
14,65.03,1.66818,0.98746,63.66,1.03645,
15,66.1,1.65404,0.97118,62.72,1.06995,2.70887
16,65.12,1.77965,0.99527,62.44,1.1146,
17,63.35,1.76803,1.03295,62.63,1.06287,
18,63.29,1.76385,1.04345,61.29,1.11878,
19,63.18,1.74318,1.03978,62.39,1.08498,
20,65.18,1.71322,0.99765,61.1,1.19343,2.99654
21,61.94,1.94661,1.08389,58.28,1.20093,
22,61.18,1.88332,1.10778,60.44,1.15375,
23,60.88,1.88286,1.1183,59.16,1.16985,
24,60.07,1.89782,1.13744,58.41,1.20127,
25,60.46,1.87203,1.12986,58.25,1.22126,2.40187
26,61.14,1.81469,1.10832,60.73,1.12211,
27,62.8,1.78276,1.06659,64.3,1.03968,
28,62.69,1.7752,1.06461,54.2,1.30781,
29,61.88,1.8189,1.08956,62.72,1.07654,
30,62.92,1.79137,1.06613,57.39,1.22325,2.75713
31,62.73,1.86028,1.06971,61.07,1.09652,
32,61.63,1.84815,1.09868,58.72,1.15058,
33,61.43,1.85683,1.10699,58.02,1.18527,
34,62.62,1.80312,1.08053,59.93,1.13792,
35,62.84,1.80383,1.06863,60.11,1.16014,2.64277
36,62.34,1.79289,1.08677,58.98,1.17877,
37,62.63,1.78246,1.07011,60.08,1.12095,
38,63.39,1.76196,1.05445,64.37,1.02858,
39,64.56,1.73236,1.02366,62.5,1.07581,
40,64.21,1.73801,1.03133,60.62,1.13363,2.58033
41,64.42,1.74265,1.02025,60.95,1.12127,
42,63.4,1.78252,1.05489,63.83,1.05978,
43,64.68,1.73685,1.01484,64.54,1.00907,
44,64.78,1.72483,1.01404,61.96,1.08018,
45,64.78,1.71282,1.00066,62.88,1.08763,2.87101
46,64.75,1.82454,1.01826,64.26,1.03772,
47,63.64,1.78672,1.0531,62.16,1.08429,
48,63.3,1.76382,1.05088,62.43,1.09911,
49,63.57,1.75364,1.04312,62.6,1.07109,
50,63.68,1.74872,1.04281,60.49,1.15456,2.65421
51,62.77,1.81154,1.05814,62.97,1.08729,
52,63.35,1.75683,1.04997,61.33,1.096,
53,63.42,1.74186,1.04476,62.41,1.07206,
54,64.62,1.718,1.03031,64.69,1.0174,
55,64.21,1.70711,1.02279,54.68,1.24408,2.37986
56,64.33,1.68288,1.01639,60.78,1.1482,
57,65.98,1.65974,0.99076,67.26,0.95898,
58,66.57,1.6174,0.96409,61.68,1.09304,
59,66.4,1.61343,0.95862,64.2,1.03318,
60,67.22,1.59171,0.93922,67.72,0.93149,2.26956
61,67.24,1.66103,0.94062,65.36,0.97773,
62,66.11,1.6519,0.96558,65.43,1.00582,
63,67.44,1.61034,0.94041,62.55,1.06006,
64,67.99,1.58534,0.92274,67.44,0.94518,
65,68.31,1.57701,0.91209,65.65,1.01226,2.46305
66,67.83,1.69158,0.92444,64.11,1.00606,
67,66.71,1.65194,0.95527,63.13,1.05669,
68,67.14,1.6286,0.94476,64.72,1.02345,
69,67.82,1.58803,0.92184,65.43,1.01134,
70,68.32,1.55342,0.89857,65.79,0.99709,2.24448
71,68.67,1.57781,0.89854,62.22,1.07331,
72,68.7,1.5411,0.88867,66.61,0.94333,
73,69.3,1.50469,0.86652,67.09,0.96372,
74,70.07,1.48827,0.85931,68.69,0.91912,
75,70.98,1.44659,0.82743,68.02,0.92683,2.24577
76,71.44,1.51233,0.82218,67.75,0.9115,
77,71.63,1.47378,0.8153,68.29,0.91417,
78,72.4,1.42286,0.78574,69.02,0.88983,
79,73.2,1.40441,0.77241,71.01,0.84757,
80,74.46,1.36216,0.73619,71.35,0.82771,2.16691
81,74.28,1.36806,0.73439,68.82,0.89578,
82,74.91,1.33021,0.71255,70.15,0.84416,
83,75.95,1.28655,0.67605,71.96,0.80757,
84,77.55,1.24852,0.64346,73.34,0.7652,
85,78.7,1.21076,0.60857,71.76,0.8258,2.2812
86,79.04,1.38886,0.61036,73.02,0.78248,
87,78.23,1.34341,0.6283,72.86,0.77725,
88,78.96,1.29851,0.60533,73.06,0.77422,
89,80.31,1.25119,0.56961,73.73,0.74834,
90,81.06,1.22518,0.55031,74.12,0.76914,2.29277
91,81.49,1.38659,0.54571,73.02,0.7706,
92,81.34,1.33519,0.54785,73.01,0.77916,
93,82.12,1.29614,0.53346,75.12,0.72492,
94,83.11,1.25467,0.50352,75.56,0.71371,
95,84.24,1.21924,0.47536,75.23,0.71628,2.48677
96,84.77,1.46699,0.46593,75.53,0.71653,
97,85.2,1.43005,0.46602,76.03,0.70081,
98,85.73,1.40364,0.45535,75.89,0.70166,
99,86.28,1.38667,0.44481,76.04,0.69895,
100,86.48,1.37889,0.43859,76.09,0.69778,2.75758
