epoch,train_perf,train_loss,train_nll,valid_perf,valid_nll,log_marglik
1,26.92,2.02433,1.94878,39.06,1.65733,
2,41.83,1.70743,1.57731,45.22,1.5008,
3,48.81,1.56696,1.3855,52.08,1.32336,
4,54.04,1.49846,1.26926,53.28,1.27806,
5,57.57,1.44865,1.17604,56.12,1.24906,
6,60.2,1.42739,1.11074,58.06,1.19268,
7,62.46,1.40523,1.0507,59.9,1.15097,
8,64.27,1.38686,0.99524,59.99,1.14976,
9,66.24,1.37496,0.94522,63.67,1.02123,
10,67.64,1.36926,0.90249,61.99,1.08819,2.39891
11,69.39,1.49846,0.87055,63.58,1.04251,
12,69.73,1.47434,0.86582,64.74,1.01296,
13,70.37,1.47198,0.85233,63.79,1.01801,
14,70.9,1.4699,0.83168,68.14,0.95662,
15,72.23,1.45178,0.79487,66.84,0.95246,2.33495
16,72.62,1.47119,0.77796,68.7,0.92465,
17,73.38,1.45341,0.7595,64.24,1.01912,
18,72.56,1.49169,0.77287,66.47,1.01163,
19,74.0,1.46517,0.74287,68.12,0.94659,
20,74.63,1.45182,0.72017,68.82,0.93443,2.38802
21,76.02,1.38697,0.68189,67.71,1.03029,
22,76.87,1.39954,0.66807,68.13,0.94624,
23,77.69,1.41041,0.64892,67.17,1.02329,
24,77.32,1.43704,0.65362,68.65,0.94199,
25,78.36,1.41059,0.62005,68.27,0.94642,2.43009
26,78.38,1.42947,0.61489,69.74,0.89896,
27,79.43,1.41984,0.60148,69.48,0.90885,
28,79.46,1.42135,0.59752,67.0,0.9877,
29,79.85,1.41497,0.5843,69.86,0.94235,
30,80.29,1.39819,0.56325,70.04,0.91724,2.33574
31,80.58,1.31854,0.55221,68.45,0.97295,
32,82.25,1.31633,0.51223,69.35,0.93927,
33,83.16,1.29832,0.48381,68.67,0.9248,
34,83.1,1.32562,0.4879,66.9,1.05008,
35,84.54,1.28985,0.44974,68.72,0.98889,2.32154
36,84.47,1.12598,0.44514,69.28,0.92732,
37,86.84,1.11713,0.38555,71.22,0.91684,
38,87.46,1.12447,0.36592,68.81,1.07034,
39,88.23,1.12995,0.34465,70.28,0.92143,
40,88.73,1.11228,0.32771,69.69,0.97766,2.37652
41,89.7,1.03413,0.30457,70.2,1.02964,
42,90.43,1.0199,0.27565,70.02,1.1169,
43,90.57,1.02951,0.27333,70.52,1.1237,
44,91.63,0.99664,0.242,70.31,1.11866,
45,91.07,1.01211,0.25617,70.12,1.00063,2.52381
46,91.96,1.06489,0.23037,71.04,1.17928,
47,91.8,1.04171,0.23649,70.76,1.08358,
48,92.04,1.02663,0.23504,71.5,1.00887,
49,92.51,0.99912,0.21872,69.43,1.06092,
50,92.38,0.98377,0.21693,71.46,1.14453,1.98862
51,93.08,0.76053,0.20129,69.08,1.23718,
52,93.84,0.75927,0.17597,71.02,1.15279,
53,95.27,0.72097,0.13682,71.54,1.17735,
54,95.5,0.70299,0.12861,72.78,1.20761,
55,96.13,0.6837,0.11906,70.8,1.17614,1.52356
56,96.53,0.54458,0.10214,72.37,1.27348,
57,96.92,0.52989,0.08908,71.98,1.20651,
58,97.35,0.51807,0.07922,71.39,1.23061,
59,98.18,0.48501,0.05824,71.36,1.2664,
60,98.22,0.46479,0.05195,71.42,1.43009,1.34347
61,98.01,0.45194,0.06143,72.45,1.29759,
62,98.29,0.43433,0.05161,73.92,1.35976,
63,98.93,0.40455,0.03483,73.23,1.39477,
64,98.75,0.39047,0.036,74.21,1.27028,
65,98.99,0.37114,0.03088,73.62,1.33706,0.88001
66,99.05,0.32134,0.02881,73.33,1.31862,
67,99.4,0.30236,0.01985,74.1,1.31045,
68,99.85,0.27571,0.00665,75.4,1.33356,
69,99.98,0.25343,0.00146,75.43,1.28413,
70,100.0,0.23646,0.00076,75.55,1.23147,0.42079
71,100.0,0.13429,0.00064,75.74,1.25261,
72,100.0,0.12975,0.00057,75.67,1.24916,
73,100.0,0.12571,0.00057,75.81,1.24344,
74,100.0,0.1221,0.00057,75.84,1.2394,
75,100.0,0.11888,0.00058,75.88,1.23342,0.42344
76,100.0,0.1516,0.00064,75.83,1.22082,
77,100.0,0.14691,0.0007,75.96,1.21422,
78,100.0,0.14278,0.00075,75.79,1.21094,
79,100.0,0.13912,0.00076,75.82,1.20936,
80,100.0,0.13589,0.00077,75.84,1.20583,0.45479
81,100.0,0.16865,0.00085,75.86,1.19477,
82,100.0,0.16446,0.00092,75.89,1.18978,
83,100.0,0.16082,0.00097,75.95,1.18827,
84,100.0,0.15765,0.00099,76.0,1.18637,
85,100.0,0.15492,0.00101,75.89,1.18519,0.47106
86,100.0,0.16726,0.00103,75.95,1.18147,
87,100.0,0.16475,0.00108,75.99,1.17845,
88,100.0,0.16261,0.0011,75.95,1.17771,
89,100.0,0.16082,0.00111,76.05,1.17648,
90,100.0,0.15933,0.00112,76.01,1.17708,0.54441
91,100.0,0.22688,0.00118,76.0,1.16714,
92,100.0,0.22474,0.00127,76.0,1.16025,
93,100.0,0.22307,0.00133,76.01,1.15698,
94,100.0,0.2218,0.00136,76.04,1.15475,
95,100.0,0.22087,0.00138,76.02,1.15315,0.57797
96,100.0,0.20684,0.0014,76.04,1.15254,
97,100.0,0.20648,0.0014,76.04,1.15227,
98,100.0,0.20628,0.0014,76.04,1.1521,
99,100.0,0.20618,0.0014,76.04,1.15205,
100,100.0,0.20616,0.0014,76.04,1.15203,0.61636
