epoch,train_perf,train_loss,train_nll,valid_perf,valid_nll,log_marglik
1,26.73,2.02516,1.94983,35.91,1.72801,
2,41.59,1.70452,1.57497,45.66,1.47998,
3,48.73,1.57032,1.38713,50.84,1.35385,
4,53.61,1.50937,1.27885,53.29,1.27164,
5,57.24,1.45083,1.17946,56.55,1.21324,
6,60.17,1.426,1.11186,56.64,1.21946,
7,62.05,1.42069,1.06382,60.34,1.10908,
8,64.8,1.38356,0.98903,60.79,1.10515,
9,66.35,1.37281,0.94575,61.2,1.10525,
10,67.81,1.3667,0.90073,61.89,1.08887,2.62821
11,68.12,1.68119,0.89942,58.29,1.17438,
12,66.46,1.62384,0.93827,61.97,1.08449,
13,67.03,1.59013,0.92526,62.34,1.05199,
14,68.1,1.55922,0.89757,65.06,1.01315,
15,69.31,1.54257,0.87255,67.58,0.91984,2.35661
16,67.63,1.73718,0.92348,63.97,1.06461,
17,66.51,1.68294,0.94478,63.96,1.01089,
18,66.88,1.66258,0.94466,65.64,1.00357,
19,67.51,1.6456,0.93639,62.63,1.12444,
20,68.04,1.63758,0.922,68.18,0.91605,2.31329
21,67.14,1.7661,0.94538,64.14,1.04304,
22,66.05,1.72431,0.97024,62.63,1.11091,
23,66.51,1.70992,0.96533,65.57,1.00168,
24,66.28,1.70393,0.96672,62.52,1.07351,
25,66.68,1.69334,0.96214,64.89,1.00992,2.11435
26,66.75,1.65505,0.95695,63.71,1.0435,
27,67.91,1.62387,0.9177,64.99,1.05129,
28,68.46,1.61785,0.91163,63.18,1.07096,
29,68.42,1.63554,0.91671,63.64,1.05808,
30,69.04,1.61608,0.89813,59.06,1.24535,2.69562
31,68.48,1.7034,0.90731,66.31,0.99184,
32,67.48,1.69642,0.93625,63.64,1.04021,
33,68.21,1.65276,0.9205,64.61,1.04611,
34,68.52,1.63587,0.9067,61.67,1.11198,
35,68.69,1.62875,0.90643,63.72,1.03815,2.21601
36,69.0,1.5364,0.8933,67.88,0.95688,
37,69.83,1.55019,0.87166,65.77,0.97568,
38,71.78,1.50074,0.8221,69.95,0.88267,
39,72.1,1.49998,0.81312,66.14,0.98907,
40,72.39,1.50795,0.81616,67.55,0.94711,2.32253
41,71.76,1.579,0.82655,69.28,0.89457,
42,72.67,1.52033,0.80749,65.5,1.02283,
43,71.75,1.53619,0.82644,65.77,0.99198,
44,72.31,1.50884,0.80643,67.53,0.9608,
45,72.88,1.49028,0.78662,69.49,0.92311,2.58687
46,72.44,1.66704,0.81181,65.88,0.997,
47,70.38,1.63167,0.86685,67.7,0.94772,
48,70.49,1.60092,0.8635,66.27,0.9678,
49,70.44,1.59986,0.86787,69.63,0.89692,
50,70.5,1.57287,0.85581,64.93,1.00358,2.33134
51,70.87,1.54319,0.84234,64.46,1.04185,
52,71.03,1.53699,0.83812,66.63,0.96468,
53,71.99,1.51322,0.81748,68.41,0.94015,
54,72.92,1.46506,0.78704,69.06,0.91166,
55,72.92,1.46703,0.78824,69.53,0.90211,2.14831
56,73.59,1.4484,0.76867,69.77,0.89505,
57,73.2,1.45203,0.77479,70.21,0.86815,
58,74.71,1.40497,0.73541,69.39,0.90222,
59,74.55,1.40113,0.73109,72.28,0.81186,
60,76.28,1.35854,0.69673,72.83,0.79915,2.02727
61,75.03,1.46275,0.71727,71.86,0.82864,
62,74.84,1.42976,0.72299,69.54,0.89986,
63,75.79,1.39424,0.70166,72.15,0.80063,
64,75.85,1.38473,0.70253,73.39,0.80633,
65,76.61,1.34333,0.66879,72.07,0.81947,2.13097
66,76.81,1.47429,0.68107,70.93,0.84543,
67,75.91,1.42347,0.69695,70.29,0.87687,
68,76.31,1.39016,0.6869,69.47,0.87955,
69,76.87,1.35512,0.66676,70.55,0.86817,
70,77.13,1.33851,0.65771,73.59,0.78761,1.78899
71,78.64,1.29873,0.62265,72.49,0.80128,
72,78.63,1.26984,0.6123,72.27,0.80356,
73,79.09,1.24334,0.59497,71.19,0.87084,
74,79.93,1.22038,0.5736,72.32,0.81097,
75,80.94,1.18177,0.54276,75.2,0.746,2.08366
76,81.95,1.2427,0.52651,74.21,0.76158,
77,82.46,1.18244,0.50661,75.09,0.73658,
78,83.13,1.14212,0.48774,74.33,0.77121,
79,83.47,1.11824,0.47044,74.71,0.75981,
80,85.03,1.0759,0.43365,74.36,0.74942,2.07691
81,85.2,1.15133,0.42976,74.55,0.75059,
82,85.87,1.09344,0.40507,75.68,0.73348,
83,86.83,1.05217,0.38295,75.4,0.76379,
84,87.85,1.00564,0.35072,75.59,0.73703,
85,89.26,0.9573,0.31139,76.43,0.73832,2.00581
86,89.48,1.15705,0.30809,76.09,0.71094,
87,89.01,1.1032,0.32826,76.24,0.71202,
88,89.5,1.04972,0.30775,76.35,0.71188,
89,91.05,0.98983,0.27026,76.25,0.73529,
90,92.24,0.94681,0.24201,76.53,0.74139,2.01885
91,92.51,1.21373,0.24084,76.57,0.70206,
92,92.1,1.14653,0.25884,77.21,0.67834,
93,92.44,1.09299,0.24633,77.88,0.67765,
94,93.45,1.046,0.2226,77.84,0.68946,
95,94.85,1.00144,0.19385,78.35,0.69029,2.00813
96,95.34,1.21572,0.18608,77.62,0.69568,
97,96.01,1.16586,0.18231,77.85,0.68714,
98,96.48,1.1336,0.17189,77.9,0.68174,
99,97.13,1.11558,0.1632,77.96,0.68433,
100,97.42,1.10762,0.15781,77.95,0.68437,2.27157
