epoch,train_perf,train_loss,train_nll,valid_perf,valid_nll,log_marglik
1,22.0,2.35742,2.0503,29.13,1.81419,
2,34.91,1.92658,1.71839,35.75,1.69449,
3,41.92,1.74038,1.5553,44.66,1.48459,
4,46.73,1.64714,1.44839,51.84,1.32513,
5,50.98,1.56023,1.33464,49.29,1.40232,
6,53.83,1.53851,1.2742,53.44,1.30407,
7,57.41,1.48294,1.18272,58.35,1.14777,
8,60.07,1.44183,1.11075,57.27,1.2097,
9,61.92,1.42165,1.05641,60.09,1.11174,
10,63.99,1.40067,1.00257,62.83,1.03115,2.56734
11,64.43,1.68789,0.9993,58.14,1.21995,
12,62.77,1.64782,1.03691,58.71,1.14914,
13,63.59,1.631,1.02828,62.34,1.05316,
14,64.61,1.60139,0.9931,57.93,1.22269,
15,65.84,1.59243,0.9749,65.81,0.98668,2.5283
16,63.24,1.80837,1.03417,61.48,1.09474,
17,62.46,1.78288,1.07013,63.51,1.0366,
18,61.67,1.80786,1.09954,62.73,1.06574,
19,62.08,1.77107,1.08187,62.47,1.0885,
20,61.86,1.78599,1.09291,64.62,1.01019,2.47956
21,60.67,1.87472,1.11849,62.46,1.08743,
22,43.37,2.26077,1.57763,54.89,1.25322,
23,54.52,1.84207,1.27736,54.96,1.25367,
24,55.31,1.82752,1.24326,56.65,1.22811,
25,55.79,1.84441,1.23807,55.57,1.23923,2.45883
26,52.14,2.04899,1.34209,51.82,1.37681,
27,55.32,1.86865,1.25872,34.57,2.15949,
28,52.73,1.96441,1.32531,57.74,1.25475,
29,53.54,1.9085,1.29292,46.53,1.49832,
30,54.75,1.87499,1.26372,55.23,1.25745,2.37213
31,54.53,1.83971,1.26194,49.44,1.38099,
32,55.84,1.83311,1.24046,55.38,1.25045,
33,56.78,1.79226,1.2147,54.19,1.31545,
34,56.58,1.823,1.23385,52.11,1.27229,
35,57.22,1.78347,1.20321,56.32,1.1827,2.5945
36,55.7,1.87166,1.22931,48.27,1.49001,
37,52.93,1.93579,1.30705,52.57,1.35302,
38,54.64,1.87587,1.26654,50.31,1.33489,
39,54.27,1.87566,1.27251,60.53,1.13368,
40,30.36,2.4146,1.86421,21.9,2.02444,2.36905
41,25.59,2.08573,1.93442,29.28,1.81492,
42,32.89,1.94152,1.78008,37.31,1.67185,
43,36.49,1.87854,1.69155,34.72,1.72586,
44,40.14,1.81939,1.59914,42.58,1.52987,
45,43.06,1.77231,1.534,44.86,1.50709,2.34071
46,43.25,1.88669,1.54118,36.87,1.6867,
47,43.32,1.85741,1.52918,49.59,1.39349,
48,44.54,1.84639,1.50922,48.19,1.42725,
49,45.16,1.83365,1.48946,42.46,1.53652,
50,47.06,1.79171,1.44061,49.9,1.36758,2.12372
51,46.99,1.83784,1.44191,47.66,1.46023,
52,46.16,1.84929,1.46771,47.83,1.41981,
53,47.9,1.8103,1.42415,50.34,1.37057,
54,48.32,1.79507,1.40902,51.48,1.33605,
55,49.97,1.74559,1.36321,49.28,1.36618,2.33694
56,49.64,1.78756,1.37542,49.43,1.41268,
57,50.73,1.765,1.36349,50.09,1.36813,
58,50.09,1.77449,1.37532,51.66,1.34942,
59,51.18,1.7452,1.34371,51.4,1.32949,
60,51.33,1.74309,1.34098,51.22,1.36993,2.0855
61,51.52,1.73943,1.32888,51.94,1.32986,
62,52.27,1.71338,1.31286,42.37,1.59471,
63,52.7,1.70414,1.30461,51.45,1.31051,
64,53.36,1.68195,1.28727,54.65,1.27672,
65,54.47,1.65704,1.25916,54.28,1.25778,2.10121
66,54.86,1.66358,1.25507,53.86,1.26643,
67,54.98,1.64036,1.23609,56.64,1.2079,
68,55.22,1.62111,1.22309,55.39,1.24251,
69,56.62,1.60164,1.20562,55.74,1.22799,
70,57.42,1.58105,1.18222,55.64,1.20423,2.1007
71,56.53,1.65604,1.19899,57.26,1.2126,
72,57.58,1.61812,1.18176,49.41,1.31136,
73,57.92,1.59347,1.164,58.65,1.17788,
74,58.7,1.56913,1.14448,51.99,1.32071,
75,59.83,1.54914,1.12387,57.18,1.16219,2.09288
76,59.46,1.64732,1.12952,52.92,1.28053,
77,58.71,1.63044,1.14597,59.11,1.1188,
78,59.01,1.61384,1.14062,60.74,1.1022,
79,59.36,1.59542,1.12765,60.54,1.08804,
80,60.25,1.56976,1.10929,60.56,1.1087,2.28459
81,59.79,1.65876,1.11262,58.41,1.13244,
82,60.38,1.61921,1.10872,59.87,1.13728,
83,60.44,1.60052,1.10505,53.45,1.33409,
84,61.0,1.57919,1.08816,61.07,1.08038,
85,61.84,1.5522,1.06876,58.2,1.1572,2.30342
86,61.67,1.61358,1.06882,60.93,1.06377,
87,62.46,1.57494,1.05521,57.79,1.15693,
88,62.76,1.5493,1.03849,60.76,1.08246,
89,63.26,1.52529,1.02286,62.75,1.03282,
90,64.08,1.50113,1.00353,63.25,1.02314,2.29538
91,63.74,1.66348,1.01183,61.2,1.09491,
92,63.97,1.6249,1.01031,63.96,1.01671,
93,64.5,1.59351,0.99701,63.44,1.01617,
94,64.87,1.57493,0.98827,63.58,1.01108,
95,65.85,1.54511,0.96532,63.81,0.99822,2.60892
96,65.97,1.69063,0.95971,63.5,1.00655,
97,66.38,1.66142,0.95033,64.2,0.99661,
98,66.59,1.64384,0.94281,64.69,0.98724,
99,67.3,1.62776,0.93046,64.93,0.98043,
100,67.42,1.62001,0.92364,64.84,0.9789,2.86222
