epoch,train_perf,train_loss,train_nll,valid_perf,valid_nll,log_marglik
1,22.49,2.34061,2.03359,28.8,1.84306,
2,35.17,1.92828,1.71789,37.3,1.63161,
3,42.41,1.73068,1.542,44.96,1.48095,
4,47.34,1.62439,1.42271,47.99,1.4107,
5,51.92,1.54685,1.31572,52.37,1.32626,
6,55.19,1.52165,1.252,55.07,1.21878,
7,57.9,1.47965,1.17716,57.13,1.16861,
8,60.78,1.42198,1.0892,60.96,1.10787,
9,62.82,1.40012,1.03401,59.38,1.23237,
10,65.69,1.36828,0.96761,62.18,1.07612,2.12212
11,67.52,1.45829,0.92652,58.34,1.23626,
12,68.48,1.42069,0.89232,68.41,0.92473,
13,69.24,1.41244,0.87278,68.47,0.9151,
14,69.9,1.41224,0.85077,66.13,0.98709,
15,71.14,1.40983,0.82923,70.39,0.86765,2.18413
16,71.85,1.40311,0.80416,70.25,0.86512,
17,72.64,1.40176,0.79506,68.18,0.93964,
18,72.1,1.42723,0.79941,70.12,0.88188,
19,73.53,1.38431,0.75222,69.08,0.90169,
20,73.87,1.39214,0.74827,70.88,0.8635,2.18453
21,76.31,1.20837,0.68143,70.12,0.8595,
22,77.72,1.22335,0.64244,72.27,0.82209,
23,78.96,1.22094,0.60562,71.72,0.82311,
24,78.96,1.25593,0.61415,69.7,0.88449,
25,80.26,1.24635,0.576,72.31,0.85885,2.31047
26,80.92,1.28872,0.55844,67.22,0.96236,
27,81.19,1.27034,0.54557,74.87,0.77135,
28,81.07,1.28053,0.54996,72.16,0.94315,
29,81.88,1.26356,0.52262,73.21,0.82909,
30,82.85,1.24549,0.50834,70.02,0.92834,2.61063
31,82.07,1.2242,0.51447,74.62,0.75694,
32,83.69,1.19909,0.46634,73.62,0.77396,
33,84.52,1.18667,0.44738,72.97,0.80653,
34,85.15,1.18303,0.43385,67.91,1.17229,
35,85.05,1.20598,0.43744,75.75,0.7521,2.23753
36,85.83,1.06654,0.40395,76.15,0.75052,
37,87.55,1.06052,0.36061,71.74,0.8628,
38,88.09,1.0716,0.34789,75.23,0.865,
39,88.55,1.07045,0.33153,74.69,0.81339,
40,89.52,1.05225,0.30719,71.82,0.98167,2.38971
41,90.33,0.92223,0.28782,70.32,1.16641,
42,91.14,0.91927,0.25529,75.45,0.90518,
43,91.51,0.93043,0.24756,75.46,0.90557,
44,92.38,0.90939,0.22423,74.1,0.8662,
45,93.75,0.879,0.19068,76.61,0.84181,1.78238
46,93.36,0.79762,0.19536,78.11,0.78129,
47,94.41,0.77578,0.1677,76.16,0.78056,
48,94.7,0.76288,0.15495,76.97,0.82862,
49,94.94,0.76049,0.15123,76.28,0.8742,
50,95.68,0.73604,0.13498,76.59,0.93428,1.62432
51,95.2,0.73834,0.14204,76.5,0.81471,
52,96.05,0.70255,0.11498,77.13,0.89313,
53,96.3,0.68373,0.10907,77.69,0.86601,
54,96.58,0.66211,0.10286,76.41,0.92954,
55,96.9,0.6412,0.09606,78.32,0.89667,1.19988
56,96.6,0.47676,0.09859,78.01,0.97993,
57,96.56,0.49417,0.10101,78.68,0.91819,
58,98.01,0.45314,0.05919,75.73,0.85959,
59,97.92,0.45185,0.06214,78.08,1.04785,
60,99.0,0.40642,0.03075,78.94,1.04398,0.89533
61,99.03,0.2038,0.03041,78.29,1.07521,
62,99.01,0.20561,0.03057,77.82,1.01319,
63,98.89,0.21282,0.03464,78.68,1.10884,
64,99.16,0.20541,0.02612,79.65,1.0574,
65,99.82,0.18413,0.00717,80.43,1.0607,0.34292
66,100.0,0.11842,0.00054,80.98,1.08258,
67,100.0,0.11494,0.00019,81.28,1.06507,
68,100.0,0.11201,0.00018,81.33,1.05739,
69,100.0,0.10935,0.00019,81.28,1.04712,
70,100.0,0.10691,0.0002,81.33,1.04175,0.26093
71,100.0,0.09189,0.00021,81.25,1.04191,
72,100.0,0.09032,0.00021,81.24,1.04003,
73,100.0,0.08888,0.00022,81.32,1.04022,
74,100.0,0.08756,0.00022,81.31,1.0402,
75,100.0,0.08636,0.00022,81.22,1.03674,0.21139
76,100.0,0.08018,0.00022,81.34,1.04047,
77,100.0,0.07928,0.00022,81.33,1.04267,
78,100.0,0.07847,0.00022,81.34,1.04322,
79,100.0,0.07773,0.00022,81.34,1.04374,
80,100.0,0.07706,0.00022,81.36,1.04325,0.32148
81,100.0,0.11896,0.00024,81.33,1.03569,
82,100.0,0.11762,0.00025,81.37,1.02809,
83,100.0,0.11643,0.00027,81.38,1.02443,
84,100.0,0.11538,0.00029,81.32,1.02095,
85,100.0,0.11446,0.0003,81.31,1.01856,0.29356
86,100.0,0.11131,0.00031,81.29,1.01753,
87,100.0,0.11064,0.00031,81.24,1.01613,
88,100.0,0.11007,0.00032,81.29,1.01598,
89,100.0,0.10958,0.00032,81.25,1.01545,
90,100.0,0.10917,0.00032,81.26,1.01505,0.31299
91,100.0,0.11692,0.00033,81.29,1.01436,
92,100.0,0.1166,0.00033,81.29,1.01367,
93,100.0,0.11635,0.00033,81.3,1.01321,
94,100.0,0.11616,0.00033,81.31,1.01302,
95,100.0,0.11602,0.00033,81.3,1.01282,0.37162
96,100.0,0.1261,0.00034,81.3,1.01246,
97,100.0,0.12602,0.00034,81.3,1.0123,
98,100.0,0.12598,0.00034,81.3,1.01224,
99,100.0,0.12596,0.00034,81.3,1.01219,
100,100.0,0.12596,0.00034,81.3,1.01219,0.35694
