epoch,train_perf,train_loss,train_nll,valid_perf,valid_nll,log_marglik
1,21.98,2.35197,2.04493,28.07,1.82379,
2,35.26,1.91923,1.709,39.02,1.61447,
3,43.16,1.71978,1.53063,41.65,1.53875,
4,46.92,1.64418,1.44136,43.52,1.47497,
5,51.23,1.57049,1.3366,51.31,1.33072,
6,55.25,1.51431,1.24282,57.28,1.19798,
7,58.18,1.47341,1.16668,57.94,1.17446,
8,60.63,1.42367,1.08622,61.28,1.08278,
9,63.22,1.40511,1.03436,59.92,1.15932,
10,65.64,1.37882,0.97015,61.7,1.08357,2.14823
11,66.76,1.49429,0.93757,65.01,1.01544,
12,68.88,1.43657,0.89224,65.44,1.00941,
13,69.13,1.42454,0.87594,66.71,1.01388,
14,70.5,1.4102,0.84298,68.57,0.92484,
15,71.41,1.39746,0.81731,67.74,0.91985,2.14687
16,71.29,1.48531,0.81951,68.25,0.94152,
17,70.79,1.49715,0.84027,68.68,0.89553,
18,71.08,1.49538,0.83393,68.62,0.92749,
19,71.97,1.46305,0.80443,66.41,0.99681,
20,72.17,1.47649,0.81037,66.87,0.9569,2.2443
21,71.6,1.53279,0.81481,67.11,0.95435,
22,72.5,1.49127,0.79601,66.34,0.97356,
23,72.71,1.47483,0.78168,69.53,0.87577,
24,72.41,1.48697,0.78741,65.4,1.03806,
25,72.81,1.49958,0.78958,68.64,0.92732,2.26093
26,72.93,1.53522,0.78107,68.76,0.92861,
27,74.22,1.47956,0.74899,68.76,0.98009,
28,72.59,1.52021,0.79172,70.73,0.86195,
29,72.99,1.5178,0.7853,73.0,0.80203,
30,74.03,1.47931,0.75614,63.83,1.06625,2.63391
31,74.05,1.49665,0.75867,70.41,0.92381,
32,73.51,1.49987,0.7636,69.95,0.87956,
33,74.44,1.48567,0.74581,71.29,0.82996,
34,74.63,1.46419,0.73601,69.17,0.90879,
35,75.37,1.44964,0.72188,69.6,0.88903,2.25276
36,74.57,1.51282,0.72977,71.62,0.81023,
37,74.43,1.50907,0.74098,71.14,0.81792,
38,75.52,1.47825,0.72177,69.25,0.92543,
39,75.59,1.44752,0.70376,72.24,0.80307,
40,75.82,1.43122,0.69876,72.02,0.82268,2.34412
41,75.39,1.57428,0.72505,64.46,1.11595,
42,73.57,1.58555,0.76876,70.86,0.86423,
43,73.26,1.55817,0.76783,69.71,0.89099,
44,74.52,1.50507,0.73102,66.09,0.99325,
45,74.97,1.49417,0.73117,71.45,0.82992,2.24906
46,74.64,1.58285,0.74275,69.15,0.87766,
47,73.29,1.5588,0.76986,69.94,0.87203,
48,73.66,1.53076,0.76011,69.26,0.92486,
49,73.71,1.53262,0.76421,69.87,0.85346,
50,73.96,1.52491,0.75889,71.01,0.84412,2.21775
51,74.37,1.49465,0.74296,68.16,0.91823,
52,74.51,1.48405,0.74033,69.1,0.89424,
53,75.25,1.45745,0.72084,71.47,0.84149,
54,76.41,1.41313,0.68711,72.95,0.77269,
55,76.87,1.39371,0.67511,71.13,0.82676,2.20563
56,75.68,1.50778,0.70627,73.32,0.78123,
57,75.35,1.4909,0.72026,69.8,0.85512,
58,76.72,1.42312,0.67489,74.0,0.76532,
59,76.61,1.40691,0.68072,67.27,0.93885,
60,76.62,1.40846,0.67775,71.8,0.8125,2.31684
61,76.87,1.52247,0.68072,72.48,0.8029,
62,75.28,1.49381,0.70811,68.21,0.93583,
63,76.1,1.45886,0.69915,70.77,0.82785,
64,76.12,1.44437,0.70059,74.27,0.76025,
65,76.98,1.39095,0.66894,73.64,0.77864,2.05215
66,76.73,1.4369,0.67464,72.96,0.82937,
67,76.85,1.39528,0.6679,71.22,0.86107,
68,78.12,1.33904,0.63622,74.52,0.76344,
69,78.34,1.32724,0.63457,70.63,0.86167,
70,78.86,1.3088,0.61486,73.33,0.80053,1.82736
71,80.08,1.26654,0.58661,75.58,0.73692,
72,80.01,1.24773,0.57973,75.43,0.73373,
73,80.84,1.20564,0.54633,75.51,0.72243,
74,81.93,1.17251,0.52162,75.35,0.73726,
75,82.93,1.14012,0.49384,76.2,0.72747,1.84896
76,81.63,1.37921,0.5256,75.66,0.71209,
77,81.62,1.3144,0.54002,72.34,0.82304,
78,81.4,1.27739,0.54139,77.76,0.6641,
79,82.16,1.23344,0.5204,77.44,0.66741,
80,82.94,1.19723,0.49594,77.62,0.65123,2.07024
81,83.64,1.14074,0.48268,76.14,0.71026,
82,84.69,1.09271,0.44464,77.16,0.67832,
83,85.75,1.04996,0.41207,75.01,0.76841,
84,87.18,1.00506,0.37324,78.26,0.64093,
85,87.9,0.98777,0.36023,79.12,0.62655,1.88332
86,89.1,1.05699,0.32017,79.83,0.61668,
87,89.31,1.00595,0.31152,79.12,0.61792,
88,90.07,0.96949,0.2901,79.89,0.61336,
89,91.66,0.91185,0.24728,79.8,0.60653,
90,92.79,0.86993,0.21784,79.64,0.65905,2.07111
91,93.42,1.05915,0.20114,80.22,0.62138,
92,93.91,0.99269,0.19497,81.49,0.57012,
93,94.56,0.94447,0.17847,80.24,0.60815,
94,95.61,0.89347,0.14712,80.78,0.61879,
95,97.11,0.84191,0.11316,80.97,0.61791,2.03524
96,97.83,0.96668,0.09545,81.04,0.62429,
97,98.44,0.91965,0.08356,81.49,0.63043,
98,98.97,0.88573,0.06779,81.66,0.64356,
99,99.23,0.86962,0.0601,81.72,0.65581,
100,99.38,0.86276,0.05562,81.7,0.65779,2.31102
